algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.080,21.426,0.927,0.927,0.927,0.927,0.927,0.916,0.871,0.916,0.073,0.073,0.202,0.783,0.885,0.918,84.340
Linear Regression,0.027,0.768,0.365,0.412,0.365,0.329,0.343,0.309,0.253,0.264,0.635,0.635,1.420,4.034,2.008,0.249,19.373
Logistic Regression,0.062,75.291,0.634,0.665,0.634,0.610,0.618,0.583,0.521,0.573,0.366,0.366,1.106,4.771,2.184,0.518,7.041
KNN,93.963,0.178,0.919,0.919,0.919,0.918,0.919,0.906,0.856,0.906,0.081,0.081,0.249,1.049,1.024,0.913,79.011
Random Forest,6.989,437.641,0.955,0.955,0.955,0.955,0.955,0.948,0.917,0.948,0.045,0.045,0.125,0.473,0.688,0.954,90.543
MLP,0.436,1437.056,0.849,0.850,0.849,0.845,0.847,0.826,0.755,0.825,0.151,0.151,0.468,2.075,1.441,0.832,58.477
Bagging,0.933,160.592,0.945,0.946,0.945,0.945,0.946,0.937,0.901,0.937,0.055,0.055,0.150,0.574,0.757,0.942,88.518
J48,0.104,33.431,0.930,0.930,0.930,0.930,0.930,0.919,0.876,0.919,0.070,0.070,0.194,0.744,0.863,0.922,85.111
ANN,20.752,300.525,0.680,0.697,0.680,0.658,0.659,0.634,0.560,0.626,0.320,0.320,1.062,4.815,2.194,0.589,4.171
DNN,21.560,365.729,0.790,0.793,0.790,0.782,0.786,0.759,0.678,0.757,0.210,0.210,0.668,3.014,1.736,0.753,40.047
Gradient Boosting,5.120,4282.820,0.887,0.888,0.887,0.886,0.887,0.870,0.810,0.869,0.113,0.113,0.333,1.404,1.185,0.877,71.907
XGBoost,1.703,69.034,0.940,0.940,0.940,0.939,0.940,0.930,0.891,0.930,0.060,0.060,0.169,0.660,0.812,0.938,86.809
Gaussian Naive Bayes,0.546,0.655,0.545,0.641,0.545,0.527,0.562,0.515,0.452,0.478,0.455,0.455,1.765,9.029,3.005,0.456,-64.228
Adaptive Gradient Boosting,19.514,1887.589,0.814,0.815,0.814,0.813,0.814,0.785,0.712,0.784,0.186,0.186,0.539,2.271,1.507,0.785,54.663
QDA,0.716,1.439,0.075,0.006,0.075,0.010,0.007,0.000,0.006,0.000,0.925,0.925,4.279,23.309,4.828,0.111,0.000
SNN,22.293,384.667,0.842,0.842,0.842,0.838,0.839,0.817,0.745,0.817,0.158,0.158,0.492,2.189,1.479,0.823,56.384
RBM,24.617,346.384,0.244,0.091,0.244,0.096,0.071,0.002,0.060,0.000,0.756,0.756,1.796,5.519,2.349,0.111,-0.025
LSTM,62.128,2597.198,0.845,0.848,0.845,0.843,0.845,0.821,0.750,0.820,0.155,0.155,0.496,2.236,1.495,0.829,55.261
reconstruction_NN,23.302,396.030,0.792,0.791,0.792,0.785,0.787,0.760,0.683,0.759,0.208,0.208,0.663,2.994,1.730,0.754,40.335
DANN,25.275,341.693,0.799,0.801,0.799,0.792,0.795,0.769,0.689,0.768,0.201,0.201,0.652,2.984,1.727,0.766,40.475
DBN,1.918,860.642,0.516,0.465,0.516,0.438,0.436,0.498,0.389,0.419,0.484,0.484,1.303,4.507,2.123,0.323,12.266
DBM,18.895,361.367,0.832,0.832,0.832,0.827,0.829,0.807,0.732,0.806,0.168,0.168,0.529,2.371,1.540,0.810,52.553
DA,17.712,534.636,0.852,0.854,0.852,0.850,0.852,0.830,0.759,0.829,0.148,0.148,0.477,2.169,1.473,0.840,56.640
PassiveAggressiveClassifier,0.084,23.165,0.579,0.585,0.579,0.543,0.551,0.515,0.443,0.505,0.421,0.421,1.301,5.751,2.398,0.445,-12.621
RidgeClassifier,0.064,1.168,0.587,0.617,0.587,0.534,0.538,0.540,0.446,0.515,0.413,0.413,1.112,4.299,2.073,0.455,16.693
NearestCentroid,0.106,0.371,0.485,0.528,0.485,0.453,0.479,0.419,0.345,0.401,0.515,0.515,1.471,6.289,2.508,0.392,-15.405
CSLR,0.056,52.412,0.667,0.677,0.667,0.639,0.643,0.623,0.547,0.615,0.333,0.333,1.354,6.975,2.641,0.584,-28.002
CSBC erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LightGBM erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LDA,1.815,67.181,0.507,0.416,0.507,0.428,0.419,0.498,0.389,0.409,0.493,0.493,1.312,4.513,2.124,0.311,12.281
